2018-05-09 14:22:58.878550-04:00, CPS, 0, CPM, 2, uSv/hr, 0.01, SLOW 
2018-05-09 14:22:59.869474-04:00, CPS, 0, CPM, 2, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:00.876142-04:00, CPS, 1, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:01.868246-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:02.873830-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:03.865511-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:04.876326-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:05.863547-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:06.869735-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:07.862581-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:23:08.853254-04:00, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW 
2018-05-09 14:26:56.452556-04:00, CPS, 0, CPM, 5, uSv/hr, 0.02, SLOW 
2018-05-09 14:26:57.444631-04:00, CPS, 0, CPM, 5, uSv/hr, 0.02, SLOW 
2018-05-09 14:26:58.450735-04:00, CPS, 0, CPM, 5, uSv/hr, 0.02, SLOW 
2018-05-09 14:26:59.442787-04:00, CPS, 0, CPM, 5, uSv/hr, 0.02, SLOW 
2018-05-09 14:27:00.449134-04:00, CPS, 0, CPM, 5, uSv/hr, 0.02, SLOW 
2018-05-09 14:27:01.441415-04:00, CPS, 0, CPM, 5, uSv/hr, 0.02, SLOW 
